fecha,departamento,producto,id_producto,precio,unidad,cantidad
2025-02-25,Cochabamba,aceite de girasol,8,16.33,litro(s),900.0
2025-02-27,Cochabamba,aceite de girasol,8,15.78,litro(s),900.0
2025-03-01,Cochabamba,aceite de girasol,8,15.67,litro(s),900.0
2025-03-06,Cochabamba,aceite de girasol,8,15.89,litro(s),900.0
2025-03-08,Cochabamba,aceite de girasol,8,15.67,litro(s),900.0
2025-03-11,Cochabamba,aceite de girasol,8,15.89,litro(s),900.0
2025-03-13,Cochabamba,aceite de girasol,8,16.0,litro(s),900.0
2025-03-15,Cochabamba,aceite de girasol,8,15.67,litro(s),900.0
2025-03-18,Cochabamba,aceite de girasol,8,16.22,litro(s),900.0
2025-03-20,Cochabamba,aceite de girasol,8,16.0,litro(s),900.0
2025-03-22,Cochabamba,aceite de girasol,8,16.5,litro(s),900.0
2025-03-25,Cochabamba,aceite de girasol,8,16.33,litro(s),900.0
2025-03-27,Cochabamba,aceite de girasol,8,16.33,litro(s),900.0
2025-03-29,Cochabamba,aceite de girasol,8,15.67,litro(s),900.0
2025-04-01,Cochabamba,aceite de girasol,8,16.22,litro(s),900.0
2025-04-03,Cochabamba,aceite de girasol,8,16.22,litro(s),900.0
2025-04-05,Cochabamba,aceite de girasol,8,16.17,litro(s),900.0
2025-04-08,Cochabamba,aceite de girasol,8,16.33,litro(s),900.0
2025-04-10,Cochabamba,aceite de girasol,8,16.67,litro(s),900.0
2025-04-12,Cochabamba,aceite de girasol,8,16.5,litro(s),900.0
2025-04-15,Cochabamba,aceite de girasol,8,16.83,litro(s),900.0
2025-04-17,Cochabamba,aceite de girasol,8,16.89,litro(s),900.0
2025-04-19,Cochabamba,aceite de girasol,8,16.83,litro(s),900.0
2025-04-22,Cochabamba,aceite de girasol,8,16.83,litro(s),900.0
2025-04-24,Cochabamba,aceite de girasol,8,17.0,litro(s),900.0
2025-04-26,Cochabamba,aceite de girasol,8,17.33,litro(s),900.0
2025-04-29,Cochabamba,aceite de girasol,8,17.0,litro(s),900.0
2025-05-03,Cochabamba,aceite de girasol,8,16.83,litro(s),900.0
2025-05-06,Cochabamba,aceite de girasol,8,17.67,litro(s),900.0
2025-05-08,Cochabamba,aceite de girasol,8,18.11,litro(s),900.0
